	time		p1		p2
   3.9700000e+00   3.7873066e-01  -1.3472687e-02
   3.9800000e+00   3.7873054e-01  -1.3472689e-02
   3.9900000e+00   3.7873042e-01  -1.3472690e-02
   4.0000000e+00   3.7873030e-01  -1.3472692e-02
   4.0100000e+00   3.7873017e-01  -1.3472694e-02
   4.0200000e+00   3.7873005e-01  -1.3472695e-02
   4.0300000e+00   3.7872993e-01  -1.3472697e-02
   4.0400000e+00   3.7872980e-01  -1.3472699e-02
   4.0500000e+00   3.7872968e-01  -1.3472701e-02
   4.0600000e+00   3.7872956e-01  -1.3472702e-02
   4.0700000e+00   3.7872943e-01  -1.3472704e-02
   4.0800000e+00   3.7872931e-01  -1.3472706e-02
   4.0900000e+00   3.7872919e-01  -1.3472707e-02
   4.1000000e+00   3.7872907e-01  -1.3472709e-02
   4.1100000e+00   3.7872894e-01  -1.3472711e-02
   4.1200000e+00   3.7872882e-01  -1.3472712e-02
   4.1300000e+00   3.7872870e-01  -1.3472714e-02
   4.1400000e+00   3.7872857e-01  -1.3472716e-02
   4.1500000e+00   3.7872845e-01  -1.3472718e-02
   4.1600000e+00   3.7872833e-01  -1.3472719e-02
   4.1700000e+00   3.7872820e-01  -1.3472721e-02
   4.1800000e+00   3.7872808e-01  -1.3472723e-02
   4.1900000e+00   3.7872796e-01  -1.3472724e-02
   4.2000000e+00   3.7872784e-01  -1.3472726e-02
   4.2100000e+00   3.7872771e-01  -1.3472728e-02
   4.2200000e+00   3.7872759e-01  -1.3472729e-02
   4.2300000e+00   3.7872747e-01  -1.3472731e-02
   4.2400000e+00   3.7872734e-01  -1.3472733e-02
   4.2500000e+00   3.7872722e-01  -1.3472735e-02
   4.2600000e+00   3.7872710e-01  -1.3472736e-02
   4.2700000e+00   3.7872698e-01  -1.3472738e-02
   4.2800000e+00   3.7872685e-01  -1.3472740e-02
   4.2900000e+00   3.7872673e-01  -1.3472741e-02
   4.3000000e+00   3.7872661e-01  -1.3472743e-02
